obs_name,obs_date,day_ind,mintemp,avgtemp,maxtemp
Hamburg/Finkenwerder,2019-04-28,D,8,8.9,13
Hamburg/Finkenwerder,2019-04-28,N,8,9.0,10
Hamburg/Finkenwerder,2019-04-29,D,8,11.7,17
Hamburg/Finkenwerder,2019-04-29,N,4,8.0,13
Hamburg/Finkenwerder,2019-04-30,D,4,11.9,17
Hamburg/Finkenwerder,2019-04-30,N,4,8.0,11
Hamburg/Finkenwerder,2019-05-01,D,9,9.6,11
Hamburg/Finkenwerder,2019-05-01,N,8,8.6,9
Hamburg/Finkenwerder,2019-05-02,D,8,9.9,13
Hamburg/Finkenwerder,2019-05-02,N,6,7.4,8
Hamburg/Finkenwerder,2019-05-03,D,4,7.5,9
Hamburg/Finkenwerder,2019-05-03,N,3,4.1,5
Hamburg/Finkenwerder,2019-05-04,D,3,6.7,10
Hamburg/Finkenwerder,2019-05-04,N,1,2.4,4
Hamburg/Finkenwerder,2019-05-05,D,-1,7.4,11
Hamburg/Finkenwerder,2019-05-05,N,0,3.4,7
Hamburg/Finkenwerder,2019-05-06,D,3,7.6,10
Hamburg/Finkenwerder,2019-05-06,N,2,3.9,6
Hamburg/Finkenwerder,2019-05-07,D,2,8.6,12
Hamburg/Finkenwerder,2019-05-07,N,1,1.7,2
